feature,importance
power_consumption_kw,0.9963398195653709
current_a,0.003464651939475905
rolling_std_4,8.441183886881568e-05
rolling_mean_4,5.804364387669601e-05
load_lag_2,1.8154921338947266e-05
load_lag_1,1.2377072111983375e-05
reactive_power_kvar,4.361059057609183e-06
voltage_v,3.794136525249504e-06
grid_supply_kw,2.547503471461837e-06
voltage_fluctuation_percent,1.8326090204894702e-06
load_lag_8,1.8220036689274812e-06
load_lag_4,1.675649416784848e-06
wind_power_kw,1.4795401196308303e-06
temperature_°c,1.1669853831035695e-06
electricity_price_usd_per_kwh,7.868049683374438e-07
day,6.857817252632676e-07
solar_power_kw,6.690410611846262e-07
humidity_percent,5.645503923163367e-07
day_of_week,5.007543372466615e-07
power_factor,3.244121119180093e-07
hour,1.9808842068904527e-07
month,1.3145707765344695e-07
is_weekend,6.421991126565099e-10
transformer_fault,0.0
overload_condition,0.0
