model,rmse,r2,mae,drop_power,drop_electrical
linear_regression,0.2019756567294412,0.9954350482704986,0.1577438319952962,False,False
ridge,0.2019755409052343,0.9954350535060974,0.1577383341534401,False,False
lasso,0.2126257077752004,0.9949409417920207,0.167664942491118,False,False
elastic_net,0.2111311256001498,0.9950118137848456,0.1666070682637814,False,False
random_forest,0.2032033135842433,0.9953793858585304,0.1575415450360298,False,False
gradient_boosting,0.2017082493509053,0.9954471278816324,0.157136747608158,False,False
linear_regression,0.2116852117247465,0.9949855977403042,0.1675547225064763,True,False
ridge,0.2116851131293811,0.9949856024113598,0.1675545607301306,True,False
lasso,0.2126257077752004,0.9949409417920207,0.167664942491118,True,False
elastic_net,0.2121102610022626,0.9949654403768288,0.1675042207676598,True,False
random_forest,0.2045297840281106,0.9953188640808448,0.1586224045197182,True,False
gradient_boosting,0.202313286542701,0.9954197736374948,0.1576249190744497,True,False
linear_regression,1.580961852330557,0.7203074404427605,1.2616849721930565,False,True
ridge,1.580961810952858,0.7203074550832584,1.261685393260806,False,True
lasso,1.5815649692468148,0.7200940014027126,1.2619176238005227,False,True
elastic_net,1.5813120788825086,0.7201835075211104,1.2619059446811633,False,True
random_forest,1.306836300845546,0.8088912767666396,1.0049098884025787,False,True
gradient_boosting,1.3929859920919938,0.7828641015294544,1.0979791137594215,False,True
